Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
1st Tier Unifine Pentips,"Pen Needle, Diabetic",2000851.0,,,,,approx
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",2000855.0,,,,,approx
Abacavir,Abacavir Sulfate,190521.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,614534.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Abilify,Aripiprazole,352393.0,N05AX,Other antipsychotics,Nervous system,Schizophrenia,exact
Abilify Asimtufii,Aripiprazole,2639131.0,,,,Schizophrenia,approx
Abilify Maintena,Aripiprazole,1602164.0,,,,Schizophrenia,approx
Abilify Mycite,Aripiprazole,2569185.0,,,,Schizophrenia,approx
Abiraterone Acetate,Abiraterone Acetate,1100071.0,L02BX,Other hormone antagonists and related agents,Antineoplastic and immunomodulating agents,"Prostatic Neoplasms, Castration-Resistant",exact
Abraxane,Paclitaxel Protein-Bound,589511.0,L01CD,Taxanes,Antineoplastic and immunomodulating agents,"Sarcoma, Kaposi",exact
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",2642144.0,,,,,exact
Absorica,Isotretinoin,1299198.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Leukemia,exact
Absorica Ld,"Isotretinoin, Micronized",2282007.0,,,,,approx
Acamprosate Calcium,Acamprosate Calcium,152761.0,N07BB,Drugs used in alcohol dependence,Nervous system,Alcoholism,exact
Acanya,Clindamycin Phos/Benzoyl Perox,810005.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Acarbose,Acarbose,16681.0,A10BF,Alpha glucosidase inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Accolate,Zafirlukast,135092.0,R03DC,Leukotriene receptor antagonists,Respiratory system,Asthma,exact
Accutane,Isotretinoin,202795.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Leukemia,exact
Acebutolol HCl,Acebutolol HCl,142130.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,689569.0,N02BE,Anilides,Nervous system,Pain,exact
Acetaminophen,Acetaminophen,161.0,N02BE,Anilides,Nervous system,Pain,exact
Acetaminophen-Codeine,Acetaminophen With Codeine,817579.0,N02BE,Anilides,Nervous system,Pain,exact
Acetazolamide,Acetazolamide,167.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,exact
Acetazolamide ER,Acetazolamide,370526.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,approx
Acetazolamide Sodium,Acetazolamide Sodium,91406.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,exact
Acetic Acid*,Acetic Acid,168.0,G01AD,Organic acids,Genito-urinary system and sex hormones,Otitis Externa,exact
Acetylcysteine*,Acetylcysteine,197.0,R05CB,Mucolytics,Respiratory system,Pneumonia,exact
Aciphex,Rabeprazole Sodium,261440.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Acitretin,Acitretin,16818.0,D05BB,Retinoids for treatment of psoriasis,Dermatologicals,Psoriasis,exact
Actemra Actpen,Tocilizumab,2107804.0,,,,"Arthritis, Juvenile",approx
Actemra*,Tocilizumab,895761.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Juvenile",exact
Acthar,Corticotropin,1040019.0,H01AA,ACTH,Systemic hormonal preparations,Uveitis,exact
Acthib,Haemoph B Poly Conj-Tet Tox/PF,637866.0,,,,,exact
Actimmune,"Interferon Gamma-1b,Recomb.",258348.0,,,,Warts,exact
Activella,Estradiol/Norethindrone Acet,261441.0,,,,,approx
Actonel,Risedronate Sodium,753143.0,,,,"Paget Disease, Extramammary",exact
Actoplus Met,Pioglitazone HCl/Metformin HCl,602411.0,A10BG,Thiazolidinediones,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Actos,Pioglitazone HCl,261442.0,A10BG,Thiazolidinediones,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Acular,Ketorolac Tromethamine,152819.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Pain,exact
Acular Ls,Ketorolac Tromethamine,404828.0,,,,Pain,approx
Acuvail,Ketorolac Tromethamine/PF,858359.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Pain,exact
Acyclovir Sodium,Acyclovir Sodium,81944.0,D06BB,Antivirals,Dermatologicals,Chickenpox,exact
Acyclovir*,Acyclovir,281.0,D06BB,Antivirals,Dermatologicals,Chickenpox,exact
Aczone,Dapsone,605173.0,D10AX,Other anti-acne preparations for topical use,Dermatologicals,"Leprosy, Lepromatous",exact
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",731391.0,,,,,approx
Adakveo,Crizanlizumab-Tmca,2262426.0,B06AX,Other hematological agents,Blood and blood forming organs,,exact
Adalimumab-Adaz(Cf),Adalimumab-Adaz,2641642.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adalimumab-Adaz(Cf) Pen,Adalimumab-Adaz,2641642.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adalimumab-Fkjp(Cf) Pen,Adalimumab-Fkjp,2640402.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Adapalene,Adapalene,60223.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,859393.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Adbry,Tralokinumab-Ldrm,2589380.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",exact
Adcetris,Brentuximab Vedotin,1147324.0,L01FX,Other monoclonal antibodies and antibody drug conjugates,Antineoplastic and immunomodulating agents,Hodgkin Disease,exact
Adcirca,Tadalafil,849863.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,"Hypertension, Pulmonary",exact
Adderall,Dextroamphetamine/Amphetamine,84815.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Adderall XR,Dextroamphetamine/Amphetamine,352398.0,,,,,approx
Adefovir Dipivoxil,Adefovir Dipivoxil,141400.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,"Hepatitis B, Chronic",exact
Adempas,Riociguat,1439889.0,C02KX,Antihypertensives for pulmonary arterial hypertension,Cardiovascular system,"Hypertension, Pulmonary",exact
Adlarity,Donepezil HCl,2597448.0,N06DA,Anticholinesterases,Nervous system,Alzheimer Disease,exact
Admelog,Insulin Lispro,1992165.0,A10AB,"Insulins and analogues for injection, fast-acting",Alimentary tract and metabolism,Hyperglycemia,exact
Admelog Solostar,Insulin Lispro,1999591.0,,,,Hyperglycemia,approx
Adrenalin,Epinephrine,1490053.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Anaphylaxis,exact
Adthyza,"Thyroid,Pork",2671586.0,,,,Goiter,exact
Advair Diskus,Fluticasone Propion/Salmeterol,284649.0,,,,,approx
Advair HFA,Fluticasone Propion/Salmeterol,643325.0,,,,,approx
Advocate Pen Needle,"Pen Needle, Diabetic",1745798.0,,,,,approx
Advocate Pen Needles,"Pen Needle, Diabetic",1745798.0,,,,,approx
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",669348.0,B02BD,Blood coagulation factors,Blood and blood forming organs,Hemorrhage,approx
Adzenys XR-ODT,Amphetamine,1743255.0,,,,Narcolepsy,approx
Aemcolo,Rifamycin Sodium,2106357.0,A07AA,Antibiotics,Alimentary tract and metabolism,,exact
Afinitor,Everolimus,845509.0,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors,Antineoplastic and immunomodulating agents,,exact
Afinitor Disperz,Everolimus,1481494.0,,,,,approx
