Brand Name,Generic Name,Drug Uses**,,
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Drug uses not available,,
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Drug uses not available,,
Abacavir,Abacavir Sulfate,"This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir belongs to a class of drugs known as nucleoside reverse transcriptase inhibitors-NRTI. Abacavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"This product contains 2 drugs: abacavir and lamivudine. It is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir and lamivudine both belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abilify,Aripiprazole,"This medication is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abilify Asimtufii,Aripiprazole,"This medication is used to treat a certain mental/mood disorder (schizophrenia). Some brands of this medication are also used to treat bipolar disorder. Extended-release aripiprazole injection is a long-acting form of aripiprazole. Aripiprazole belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abilify Maintena,Aripiprazole,"This medication is used to treat a certain mental/mood disorder (schizophrenia). Some brands of this medication are also used to treat bipolar disorder. Extended-release aripiprazole injection is a long-acting form of aripiprazole. Aripiprazole belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abilify Mycite,Aripiprazole,"This product is a combination of aripiprazole tablets and a patch. Each tablet has an embedded sensor, and the patch detects the signal from the tablet sensor. You will use it with a smartphone application (app). Your health care professional or caregiver will also be able to see data from the tablet sensor in a web-based portal. Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abiraterone Acetate,Abiraterone Acetate,"This medication is used to treat prostate cancer. Abiraterone belongs to a class of drugs known as anti-androgens (anti-testosterone). Testosterone, a natural hormone, helps prostate cancer to grow and spread. Abiraterone works by blocking the production of testosterone, thereby slowing the growth and spread of prostate cancer. This medication should not be given to women or children. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abraxane,Paclitaxel Protein-Bound,"This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF","This vaccine is used to prevent infection by the respiratory syncytial virus (RSV). Some brands may also be given during the third trimester of pregnancy to help prevent RSV in the newborn baby. RSV can cause serious illness, especially in older adults with certain health problems (such as heart disease, lung disease) and infants. It works by causing the body to produce its own protection (antibodies) against the virus. Vaccines may not fully protect everyone who receives them. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Absorica,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (such as benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Absorica Ld,"Isotretinoin, Micronized","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (such as benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
